generation: 4700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 4900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5600, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5700, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5800, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 5900, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6000, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6100, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6200, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6300, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6400, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6500, power_min: 94.36606, power_avg: 94.36606, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97013, util_max: 3.97013
generation: 6600, power_min: 92.94106, power_avg: 94.20931, power_max: 94.36606, util_min: 3.97013, util_avg: 3.97288, util_max: 3.99513
generation: 6700, power_min: 92.94106, power_avg: 93.52531, power_max: 94.36606, util_min: 3.97013, util_avg: 3.98488, util_max: 3.99513
generation: 6800, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 6900, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
generation: 7000, power_min: 92.94106, power_avg: 92.94106, power_max: 92.94106, util_min: 3.99513, util_avg: 3.99513, util_max: 3.99513
